"Title","Subtitle","CELEX number","Initiating document","Procedure reference","Initial reference","Adopted acts","Latest consolidated version","Procedure status","ECLI identifier","Transposed legal act(s)","Date of document","Author","In force indicator","Number of pages","Publication Reference",
"Regulation (EU) No 1303/2013 of the European Parliament and of the Council of 17 December 2013 laying down common provisions on the European Regional Development Fund, the European Social Fund, the Cohesion Fund, the European Agricultural Fund for Rural Development and the European Maritime and Fisheries Fund and laying down general provisions on the European Regional Development Fund, the European Social Fund, the Cohesion Fund and the European Maritime and Fisheries Fund and repealing Council Regulation (EC) No 1083/2006","","32013R1303","","","","","2024-03-01",,"","","2013-12-17","European Parliament, Council of the European Union","true","150","OJ L 347, 20/12/2013, p. 320–469
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Directive 2014/89/EU of the European Parliament and of the Council of 23 July 2014 establishing a framework for maritime spatial planning","","32014L0089","","","","","",,"","","2014-07-23","European Parliament, Council of the European Union","true","11","OJ L 257, 28/08/2014, p. 135–145
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Regulation (EU) No 1299/2013 of the European Parliament and of the Council of 17 December 2013 on specific provisions for the support from the European Regional Development Fund to the European territorial cooperation goal","","32013R1299","","","","","",,"","","2013-12-17","European Parliament, Council of the European Union","true","22","OJ L 347, 20/12/2013, p. 259–280
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Directive 2014/23/EU of the European Parliament and of the Council of 26 February 2014 on the award of concession contracts  Text with EEA relevance","","32014L0023","","","","","2024-01-01",,"","","2014-02-26","Council of the European Union, European Parliament","true","64","OJ L 94, 28/03/2014, p. 1–64
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Regulation (EU) No 1306/2013 of the European Parliament and of the Council of 17 December 2013 on the financing, management and monitoring of the common agricultural policy and repealing Council Regulations (EEC) No 352/78, (EC) No 165/94, (EC) No 2799/98, (EC) No 814/2000, (EC) No 1290/2005 and (EC) No 485/2008","","32013R1306","","","","","2023-01-01",,"","","2013-12-17","Council of the European Union, European Parliament","true","59","OJ L 347, 20/12/2013, p. 549–607
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Regulation (EU) 2018/848 of the European Parliament and of the Council of 30 May 2018 on organic production and labelling of organic products and repealing Council Regulation (EC) No 834/2007","PE/62/2017/REV/1","32018R0848","","","","","2025-03-25",,"","","2018-05-30","Council of the European Union, European Parliament","true","92","OJ L 150, 14/06/2018, p. 1–92
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Directive (EU) 2018/844 of the European Parliament and of the Council of 30 May 2018 amending Directive 2010/31/EU on the energy performance of buildings and Directive 2012/27/EU on energy efficiency (Text with EEA relevance)","PE/4/2018/REV/1","32018L0844","","","","","",,"","","2018-05-30","Council of the European Union, European Parliament","true","17","OJ L 156, 19/06/2018, p. 75–91
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Directive (EU) 2018/2002 of the European Parliament and of the Council of 11 December 2018 amending Directive 2012/27/EU on energy efficiency (Text with EEA relevance.)","PE/54/2018/REV/1","32018L2002","","","","","",,"","","2018-12-11","European Parliament, Council of the European Union","true","21","OJ L 328, 21/12/2018, p. 210–230
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Directive (EU) 2018/410 of the European Parliament and of the Council of 14 March 2018 amending Directive 2003/87/EC to enhance cost-effective emission reductions and low-carbon investments, and Decision (EU) 2015/1814 (Text with EEA relevance. )","","32018L0410","","","","","",,"","","2018-03-14","Council of the European Union, European Parliament","true","25","OJ L 76, 19/03/2018, p. 3–27
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Regulation (EU) No 1291/2013 of the European Parliament and of the Council of 11 December 2013 establishing Horizon 2020 - the Framework Programme for Research and Innovation (2014-2020) and repealing Decision No 1982/2006/EC  Text with EEA relevance","","32013R1291","","","","","2015-07-04",,"","","2013-12-11","Council of the European Union, European Parliament","false","70","OJ L 347, 20/12/2013, p. 104–173
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Directive (EU) 2015/1513 of the European Parliament and of the Council of 9 September 2015 amending Directive 98/70/EC relating to the quality of petrol and diesel fuels and amending Directive 2009/28/EC on the promotion of the use of energy from renewable sources (Text with EEA relevance)","","32015L1513","","","","","2021-07-01",,"","","2015-09-09","European Parliament, Council of the European Union","true","29","OJ L 239, 15/09/2015, p. 1–29
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
